panel,series,depth,estimate,ci95_lo,ci95_hi
a,original,1.0,-0.0822644632611654,-0.1229370507277579,-0.0415918757945729
a,original,2.0,-0.1177160372473593,-0.1461411625097372,-0.0892909119849814
a,original,3.0,0.0928186533774162,0.0696469083154511,0.1159903984393812
a,original,4.0,0.0373404802849374,0.0172840721163999,0.0573968884534748
a,original,6.0,0.0192678910211575,0.0028958851433703,0.0356398968989447
a,replication,1.0,0.1332233527677039,0.0932452571459698,0.1732014483894379
a,replication,2.0,0.0479488397319657,0.0198342525139388,0.0760634269499926
a,replication,3.0,0.0766633464696114,0.0537699943391256,0.0995566986000972
a,replication,4.0,0.027226257430534,0.0074260959061924,0.0470264189548756
a,replication,6.0,0.0206735949019049,0.0045212420863498,0.0368259477174599
b,Equal-depth (original),,-0.0101106951650027,-0.0222259419159506,0.0020045515859451
b,Obs.-weighted (original),,0.0142885779984392,0.0042489743582389,0.0243281816386394
b,Equal-depth (replication),,0.061147078260344,0.0492043198142961,0.0730898367063918
b,Obs.-weighted (replication),,0.0431340956296903,0.0332240716209991,0.0530441196383815
b,Adopted (original),,0.0249958439859715,0.0107292438544969,0.0392624441174462
b,Pooled Wald (replication),,0.0492936750947691,0.0352355637300925,0.0633517864594456
