coefficient,estimate,se
Intercept,0.04066261265261228,0.0009695001950882485
"C(depth, Sum)[S.1]",0.01644314848290118,0.0017795156974824576
"C(depth, Sum)[S.2]",0.00413667640685932,0.0013378566493791536
"C(depth, Sum)[S.3]",-0.003282908608267958,0.0011536558613910192
"C(depth, Sum)[S.4]",-0.005507906313146748,0.0010495011017806395
E_c,0.004796399287073292,0.0006516948693093173
"E_c:C(depth, Sum)[S.1]",0.003697052940231542,0.0018044613842486843
"E_c:C(depth, Sum)[S.2]",-0.009684474044065932,0.001356611051467731
"E_c:C(depth, Sum)[S.3]",0.002756025060162597,0.0011698280917315518
"E_c:C(depth, Sum)[S.4]",-0.0040084396821731495,0.0010642132651983976
L_c,0.025477236667312067,0.0006516948693093173
"L_c:C(depth, Sum)[S.1]",0.011501458203935756,0.0018044613842486846
"L_c:C(depth, Sum)[S.2]",0.00015555302339557097,0.001356611051467731
"L_c:C(depth, Sum)[S.3]",0.006920382116322934,0.001169828091731552
"L_c:C(depth, Sum)[S.4]",-0.006240166850501919,0.0010642132651983978
E_c:L_c,0.005997356348975041,0.0013033897386186344
"E_c:L_c:C(depth, Sum)[S.1]",-0.004135089076321082,0.003608922768497369
"E_c:L_c:C(depth, Sum)[S.2]",-0.002877576865677973,0.002713222102935462
"E_c:L_c:C(depth, Sum)[S.3]",0.00025261755785402633,0.0023396561834631035
"E_c:L_c:C(depth, Sum)[S.4]",0.0018877981796716478,0.0021284265303967956
R_c,0.005728381148858937,0.0006516948693093172
"R_c:C(depth, Sum)[S.1]",-0.005728381148858944,0.0018044613842486846
"R_c:C(depth, Sum)[S.2]",-0.0057283811488589315,0.001356611051467731
"R_c:C(depth, Sum)[S.3]",0.00047581681786961475,0.001169828091731552
"R_c:C(depth, Sum)[S.4]",0.003439201816854907,0.0010642132651983978
E_c:R_c,0.0010506036255735333,0.0010861581155155286
L_c:R_c,0.003115959587107687,0.0010861581155155286
E_c:L_c:R_c,0.002753463005010754,0.0021723162310310572
