coefficient,estimate,se
Intercept,0.04029195141224508,0.00099247238724149
"C(depth, Sum)[S.1]",0.013863108943151141,0.0018266617232667454
"C(depth, Sum)[S.2]",0.005763904134387357,0.0013733014752812457
"C(depth, Sum)[S.3]",0.0026601112164495217,0.0011842205195529468
"C(depth, Sum)[S.4]",-0.00716736089280797,0.0010773063108469034
E_c,0.002400435457102392,0.0006472361888221361
"E_c:C(depth, Sum)[S.1]",-0.004824389655189979,0.0017921158570047013
"E_c:C(depth, Sum)[S.2]",-0.00469367663577864,0.0013473295678950827
"E_c:C(depth, Sum)[S.3]",0.0012919227351584342,0.0011618245153162767
"E_c:C(depth, Sum)[S.4]",0.004167850896121648,0.0010569322704519323
L_c,0.02505657652565674,0.0006472361888221361
"L_c:C(depth, Sum)[S.1]",0.019265968422354476,0.0017921158570047013
"L_c:C(depth, Sum)[S.2]",-0.00617355931219945,0.0013473295678950825
"L_c:C(depth, Sum)[S.3]",-0.0007997874829884404,0.0011618245153162767
"L_c:C(depth, Sum)[S.4]",-0.00458095201530116,0.0010569322704519323
E_c:L_c,0.002373534380704468,0.0012944723776442723
"E_c:L_c:C(depth, Sum)[S.1]",-0.0076242377315777835,0.0035842317140094026
"E_c:L_c:C(depth, Sum)[S.2]",-0.005953032542948912,0.0026946591357901654
"E_c:L_c:C(depth, Sum)[S.3]",0.010214771915446917,0.002323649030632553
"E_c:L_c:C(depth, Sum)[S.4]",0.002290402190057588,0.0021138645409038647
R_c,0.00548914881930219,0.0006472361888221361
"R_c:C(depth, Sum)[S.1]",-0.005489148819302183,0.0017921158570047013
"R_c:C(depth, Sum)[S.2]",-0.005489148819302182,0.0013473295678950825
"R_c:C(depth, Sum)[S.3]",0.0005834643143303365,0.0011618245153162767
"R_c:C(depth, Sum)[S.4]",0.0039282689051832725,0.0010569322704519323
E_c:R_c,0.003993201191303202,0.001078726981370227
L_c:R_c,0.003076797544562155,0.001078726981370227
E_c:L_c:R_c,-0.0006062573977250236,0.002157453962740454
