coefficient,estimate,se
Intercept,0.024827439701855185,0.0012216352254239896
E,0.00015303118687014412,0.0011306189068103821
L,0.020730409207383248,0.0011306189068103834
E:L,0.0063488938346828285,0.0015398408035631164
R,0.004419798125562456,0.0011306189068103834
E:R,-0.00032612787693188925,0.001539840803563116
L:R,0.0017392280846022477,0.0015398408035631164
E:L:R,0.0027534630050108254,0.0021776637482944406
depth_z,-0.008010601430558073,0.0007437429778987527
E:depth_z,0.004080216045147394,0.0005664318277151565
L:depth_z,-0.00769325754633317,0.0005664318277151567
R:depth_z,0.004867085310544551,0.0005664318277151572
Group Var,0.013841574747191004,0.004340396743266989
param Var,0.3620261972904059,0.013109036569416112
