depth,budget,best_single_intervention_config,config8_rms_SNR_est,best_single_rms_SNR_est,config8_exceeds_best_single_SNR,config8_final_energy,baseline_final_energy,config8_energy_improves_on_baseline,config8_global_fidelity,baseline_global_fidelity,config8_fidelity_improves_on_baseline,config8_cost_normalized_SNR,best_single_cost_normalized_SNR,cost_normalized_advantage_remains,label,three_way_coefficient,three_way_estimate,three_way_se,three_way_note
1,250,3,2.5432216931357954,2.5628829942024254,False,-0.11205725351149134,-0.10264623473263469,True,0.06380836766026202,0.04684402591524315,True,0.010172886772543181,0.010251531976809702,False,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
1,500,3,3.654563065570776,3.6282501070357798,True,-0.11205725351149134,-0.10264623473263469,True,0.06380836766026202,0.04684402591524315,True,0.007309126131141552,0.00725650021407156,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
1,1000,3,5.2106743597990475,5.227416316479271,False,-0.11205725351149134,-0.10264623473263469,True,0.06380836766026202,0.04684402591524315,True,0.0052106743597990475,0.005227416316479271,False,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
1,2000,3,7.096704676897731,7.244801109334148,False,-0.11205725351149134,-0.10264623473263469,True,0.06380836766026202,0.04684402591524315,True,0.003548352338448865,0.003622400554667074,False,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
2,250,3,1.2386784586704718,1.1901246587532186,True,0.026593783507415158,0.1463530100183872,True,0.0490429542944434,0.06346758783117996,False,0.004954713834681887,0.004760498635012874,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
2,500,3,1.7938926564456947,1.788123858489098,True,0.026593783507415158,0.1463530100183872,True,0.0490429542944434,0.06346758783117996,False,0.0035877853128913895,0.003576247716978196,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
2,1000,3,2.5328442432482134,2.573586568117511,False,0.026593783507415158,0.1463530100183872,True,0.0490429542944434,0.06346758783117996,False,0.0025328442432482135,0.002573586568117511,False,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
2,2000,3,3.7037169161391654,3.729143848245751,False,0.026593783507415158,0.1463530100183872,True,0.0490429542944434,0.06346758783117996,False,0.0018518584580695828,0.0018645719241228756,False,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
3,250,3,0.9096290549667676,0.855576022641297,True,-0.090598332716777,0.3029117215877703,True,0.05841742984938735,0.037912292651439555,True,0.0036385162198670704,0.003422304090565188,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
3,500,3,1.3494535226893363,1.1974671594542803,True,-0.090598332716777,0.3029117215877703,True,0.05841742984938735,0.037912292651439555,True,0.0026989070453786726,0.0023949343189085606,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
3,1000,3,2.120225247288467,1.7978439231519063,True,-0.090598332716777,0.3029117215877703,True,0.05841742984938735,0.037912292651439555,True,0.002120225247288467,0.0017978439231519064,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
3,2000,3,2.967784749862192,2.5208935522006213,True,-0.090598332716777,0.3029117215877703,True,0.05841742984938735,0.037912292651439555,True,0.0014838923749310958,0.0012604467761003107,True,exploratory,E:L:R,-0.01236549068159294,0.010135339369595937,exploratory only; not part of the H1-H4 Holm family
