analysis_mode,configuration_id,depth,budget,total_shots_mean,total_circuit_evaluations_mean,n_rows
finite_shot_end_to_end,1,1,250,250.0,250.0,6000
finite_shot_end_to_end,1,1,500,500.0,500.0,6000
finite_shot_end_to_end,1,1,1000,1000.0,1000.0,6000
finite_shot_end_to_end,1,1,2000,2000.0,2000.0,6000
finite_shot_end_to_end,1,2,250,250.0,250.0,12000
finite_shot_end_to_end,1,2,500,500.0,500.0,12000
finite_shot_end_to_end,1,2,1000,1000.0,1000.0,12000
finite_shot_end_to_end,1,2,2000,2000.0,2000.0,12000
finite_shot_end_to_end,1,3,250,250.0,250.0,18000
finite_shot_end_to_end,1,3,500,500.0,500.0,18000
finite_shot_end_to_end,1,3,1000,1000.0,1000.0,18000
finite_shot_end_to_end,1,3,2000,2000.0,2000.0,18000
finite_shot_end_to_end,1,4,250,250.0,250.0,24000
finite_shot_end_to_end,1,4,500,500.0,500.0,24000
finite_shot_end_to_end,1,4,1000,1000.0,1000.0,24000
finite_shot_end_to_end,1,4,2000,2000.0,2000.0,24000
finite_shot_end_to_end,1,6,250,250.0,250.0,36000
finite_shot_end_to_end,1,6,500,500.0,500.0,36000
finite_shot_end_to_end,1,6,1000,1000.0,1000.0,36000
finite_shot_end_to_end,1,6,2000,2000.0,2000.0,36000
finite_shot_end_to_end,2,1,250,250.0,250.0,6000
finite_shot_end_to_end,2,1,500,500.0,500.0,6000
finite_shot_end_to_end,2,1,1000,1000.0,1000.0,6000
finite_shot_end_to_end,2,1,2000,2000.0,2000.0,6000
finite_shot_end_to_end,2,2,250,250.0,250.0,12000
finite_shot_end_to_end,2,2,500,500.0,500.0,12000
finite_shot_end_to_end,2,2,1000,1000.0,1000.0,12000
finite_shot_end_to_end,2,2,2000,2000.0,2000.0,12000
finite_shot_end_to_end,2,3,250,250.0,250.0,18000
finite_shot_end_to_end,2,3,500,500.0,500.0,18000
finite_shot_end_to_end,2,3,1000,1000.0,1000.0,18000
finite_shot_end_to_end,2,3,2000,2000.0,2000.0,18000
finite_shot_end_to_end,2,4,250,250.0,250.0,24000
finite_shot_end_to_end,2,4,500,500.0,500.0,24000
finite_shot_end_to_end,2,4,1000,1000.0,1000.0,24000
finite_shot_end_to_end,2,4,2000,2000.0,2000.0,24000
finite_shot_end_to_end,2,6,250,250.0,250.0,36000
finite_shot_end_to_end,2,6,500,500.0,500.0,36000
finite_shot_end_to_end,2,6,1000,1000.0,1000.0,36000
finite_shot_end_to_end,2,6,2000,2000.0,2000.0,36000
finite_shot_end_to_end,3,1,250,250.0,250.0,6000
finite_shot_end_to_end,3,1,500,500.0,500.0,6000
finite_shot_end_to_end,3,1,1000,1000.0,1000.0,6000
finite_shot_end_to_end,3,1,2000,2000.0,2000.0,6000
finite_shot_end_to_end,3,2,250,250.0,250.0,12000
finite_shot_end_to_end,3,2,500,500.0,500.0,12000
