coefficient,estimate,se
Intercept,-0.8474238895041367,0.013494793214995422
E,0.07850563472818646,0.005291111079097195
L,0.21336686470883345,0.005472075292062198
E:L,0.04929367509476916,0.007172637597203423
R,-0.0032491973247924305,0.005495316933052037
E:R,-0.01423979096277246,0.007187948246578569
L:R,-0.001103481601005904,0.0077280006537036325
E:L:R,-0.01236549068159294,0.010135339369595937
depth_z,-0.2100004061660132,0.006239308963162389
log2_budget,0.15103239798582707,0.001133457076386785
E:depth_z,-0.006806775156376828,0.0026412226099937794
L:depth_z,-0.10062979737385944,0.0037369306838215747
R:depth_z,-0.007562837672352793,0.0037494369965805955
L:R:depth_z,-0.007260157335621328,0.005279788615692045
Group Var,0.004453562225608963,0.0027222326952086305
param Var,0.5444960045436819,0.014749433698860578
