configuration_id,E,L,R,depth,budget,total,excluded,pct_excluded
1,0,0,0,1,250,200,23,11.5
1,0,0,0,1,500,200,13,6.5
1,0,0,0,1,1000,200,13,6.5
1,0,0,0,1,2000,200,7,3.5
1,0,0,0,2,250,400,15,3.75
1,0,0,0,2,500,400,12,3.0
1,0,0,0,2,1000,400,7,1.75
1,0,0,0,2,2000,400,6,1.5
1,0,0,0,3,250,600,12,2.0
1,0,0,0,3,500,600,9,1.5
1,0,0,0,3,1000,600,8,1.3333333333333333
1,0,0,0,3,2000,600,3,0.5
1,0,0,0,4,250,800,22,2.75
1,0,0,0,4,500,800,14,1.75
1,0,0,0,4,1000,800,7,0.875
1,0,0,0,4,2000,800,5,0.625
1,0,0,0,6,250,1200,31,2.5833333333333335
1,0,0,0,6,500,1200,8,0.6666666666666666
1,0,0,0,6,1000,1200,11,0.9166666666666666
1,0,0,0,6,2000,1200,3,0.25
2,1,0,0,1,250,200,12,6.0
2,1,0,0,1,500,200,8,4.0
2,1,0,0,1,1000,200,4,2.0
2,1,0,0,1,2000,200,3,1.5
2,1,0,0,2,250,400,2,0.5
2,1,0,0,2,500,400,1,0.25
2,1,0,0,2,1000,400,0,0.0
2,1,0,0,2,2000,400,0,0.0
2,1,0,0,3,250,600,6,1.0
2,1,0,0,3,500,600,5,0.8333333333333334
2,1,0,0,3,1000,600,2,0.3333333333333333
2,1,0,0,3,2000,600,1,0.16666666666666666
2,1,0,0,4,250,800,5,0.625
2,1,0,0,4,500,800,5,0.625
2,1,0,0,4,1000,800,5,0.625
2,1,0,0,4,2000,800,1,0.125
2,1,0,0,6,250,1200,9,0.75
2,1,0,0,6,500,1200,5,0.4166666666666667
2,1,0,0,6,1000,1200,1,0.08333333333333333
2,1,0,0,6,2000,1200,2,0.16666666666666666
3,0,1,0,1,250,200,0,0.0
3,0,1,0,1,500,200,0,0.0
3,0,1,0,1,1000,200,0,0.0
3,0,1,0,1,2000,200,0,0.0
3,0,1,0,2,250,400,0,0.0
3,0,1,0,2,500,400,0,0.0
3,0,1,0,2,1000,400,0,0.0
3,0,1,0,2,2000,400,0,0.0
3,0,1,0,3,250,600,0,0.0
3,0,1,0,3,500,600,0,0.0
3,0,1,0,3,1000,600,0,0.0
3,0,1,0,3,2000,600,0,0.0
3,0,1,0,4,250,800,0,0.0
3,0,1,0,4,500,800,0,0.0
3,0,1,0,4,1000,800,0,0.0
3,0,1,0,4,2000,800,0,0.0
3,0,1,0,6,250,1200,0,0.0
3,0,1,0,6,500,1200,0,0.0
3,0,1,0,6,1000,1200,0,0.0
3,0,1,0,6,2000,1200,0,0.0
4,0,0,1,1,250,200,21,10.5
4,0,0,1,1,500,200,18,9.0
4,0,0,1,1,1000,200,7,3.5
4,0,0,1,1,2000,200,10,5.0
4,0,0,1,2,250,400,11,2.75
4,0,0,1,2,500,400,11,2.75
4,0,0,1,2,1000,400,4,1.0
4,0,0,1,2,2000,400,8,2.0
4,0,0,1,3,250,600,8,1.3333333333333333
4,0,0,1,3,500,600,8,1.3333333333333333
4,0,0,1,3,1000,600,3,0.5
4,0,0,1,3,2000,600,7,1.1666666666666667
4,0,0,1,4,250,800,3,0.375
4,0,0,1,4,500,800,4,0.5
4,0,0,1,4,1000,800,2,0.25
4,0,0,1,4,2000,800,3,0.375
4,0,0,1,6,250,1200,7,0.5833333333333334
4,0,0,1,6,500,1200,7,0.5833333333333334
4,0,0,1,6,1000,1200,4,0.3333333333333333
4,0,0,1,6,2000,1200,6,0.5
5,1,1,0,1,250,200,0,0.0
5,1,1,0,1,500,200,0,0.0
5,1,1,0,1,1000,200,0,0.0
5,1,1,0,1,2000,200,0,0.0
5,1,1,0,2,250,400,0,0.0
5,1,1,0,2,500,400,0,0.0
5,1,1,0,2,1000,400,0,0.0
5,1,1,0,2,2000,400,0,0.0
5,1,1,0,3,250,600,0,0.0
5,1,1,0,3,500,600,0,0.0
5,1,1,0,3,1000,600,0,0.0
5,1,1,0,3,2000,600,0,0.0
5,1,1,0,4,250,800,0,0.0
5,1,1,0,4,500,800,0,0.0
5,1,1,0,4,1000,800,0,0.0
5,1,1,0,4,2000,800,0,0.0
5,1,1,0,6,250,1200,0,0.0
5,1,1,0,6,500,1200,0,0.0
5,1,1,0,6,1000,1200,0,0.0
5,1,1,0,6,2000,1200,0,0.0
6,1,0,1,1,250,200,14,7.0
6,1,0,1,1,500,200,10,5.0
6,1,0,1,1,1000,200,1,0.5
6,1,0,1,1,2000,200,1,0.5
6,1,0,1,2,250,400,6,1.5
6,1,0,1,2,500,400,0,0.0
6,1,0,1,2,1000,400,0,0.0
6,1,0,1,2,2000,400,1,0.25
6,1,0,1,3,250,600,5,0.8333333333333334
6,1,0,1,3,500,600,1,0.16666666666666666
6,1,0,1,3,1000,600,1,0.16666666666666666
6,1,0,1,3,2000,600,0,0.0
6,1,0,1,4,250,800,2,0.25
6,1,0,1,4,500,800,1,0.125
6,1,0,1,4,1000,800,0,0.0
6,1,0,1,4,2000,800,0,0.0
6,1,0,1,6,250,1200,5,0.4166666666666667
6,1,0,1,6,500,1200,1,0.08333333333333333
6,1,0,1,6,1000,1200,2,0.16666666666666666
6,1,0,1,6,2000,1200,0,0.0
7,0,1,1,1,250,200,0,0.0
7,0,1,1,1,500,200,0,0.0
7,0,1,1,1,1000,200,0,0.0
7,0,1,1,1,2000,200,0,0.0
7,0,1,1,2,250,400,0,0.0
7,0,1,1,2,500,400,0,0.0
7,0,1,1,2,1000,400,0,0.0
7,0,1,1,2,2000,400,0,0.0
7,0,1,1,3,250,600,0,0.0
7,0,1,1,3,500,600,0,0.0
7,0,1,1,3,1000,600,0,0.0
7,0,1,1,3,2000,600,0,0.0
7,0,1,1,4,250,800,0,0.0
7,0,1,1,4,500,800,0,0.0
7,0,1,1,4,1000,800,0,0.0
7,0,1,1,4,2000,800,0,0.0
7,0,1,1,6,250,1200,0,0.0
7,0,1,1,6,500,1200,0,0.0
7,0,1,1,6,1000,1200,0,0.0
7,0,1,1,6,2000,1200,0,0.0
8,1,1,1,1,250,200,0,0.0
8,1,1,1,1,500,200,0,0.0
8,1,1,1,1,1000,200,0,0.0
8,1,1,1,1,2000,200,0,0.0
8,1,1,1,2,250,400,0,0.0
8,1,1,1,2,500,400,0,0.0
8,1,1,1,2,1000,400,0,0.0
8,1,1,1,2,2000,400,0,0.0
