initialization_id,total,excluded,pct_excluded
0,2048,15,0.732421875
1,2048,6,0.29296875
2,2048,4,0.1953125
3,2048,3,0.146484375
4,2048,14,0.68359375
5,2048,11,0.537109375
6,2048,5,0.244140625
7,2048,19,0.927734375
8,2048,6,0.29296875
9,2048,2,0.09765625
10,2048,1,0.048828125
11,2048,5,0.244140625
12,2048,8,0.390625
13,2048,4,0.1953125
14,2048,40,1.953125
15,2048,0,0.0
16,2048,4,0.1953125
17,2048,5,0.244140625
18,2048,11,0.537109375
19,2048,16,0.78125
20,2048,10,0.48828125
21,2048,0,0.0
22,2048,0,0.0
23,2048,4,0.1953125
24,2048,14,0.68359375
25,2048,1,0.048828125
26,2048,1,0.048828125
27,2048,0,0.0
28,2048,25,1.220703125
29,2048,16,0.78125
30,2048,6,0.29296875
31,2048,6,0.29296875
32,2048,22,1.07421875
33,2048,35,1.708984375
34,2048,3,0.146484375
35,2048,26,1.26953125
36,2048,25,1.220703125
37,2048,11,0.537109375
38,2048,13,0.634765625
39,2048,20,0.9765625
40,2048,6,0.29296875
41,2048,5,0.244140625
42,2048,20,0.9765625
43,2048,3,0.146484375
44,2048,9,0.439453125
45,2048,14,0.68359375
46,2048,0,0.0
47,2048,5,0.244140625
48,2048,24,1.171875
49,2048,6,0.29296875
