parameter_id,total,excluded,pct_excluded
theta_ell1_q0,8000,43,0.5375
theta_ell1_q1,8000,49,0.6125
theta_ell1_q2,8000,29,0.3625
theta_ell1_q3,8000,44,0.55
theta_ell2_q0,6400,22,0.34375
theta_ell2_q1,6400,21,0.328125
theta_ell2_q2,6400,20,0.3125
theta_ell2_q3,6400,22,0.34375
theta_ell3_q0,4800,27,0.5625
theta_ell3_q1,4800,6,0.125
theta_ell3_q2,4800,18,0.375
theta_ell3_q3,4800,28,0.5833333333333334
theta_ell4_q0,3200,18,0.5625
theta_ell4_q1,3200,18,0.5625
theta_ell4_q2,3200,16,0.5
theta_ell4_q3,3200,26,0.8125
theta_ell5_q0,1600,0,0.0
theta_ell5_q1,1600,0,0.0
theta_ell5_q2,1600,0,0.0
theta_ell5_q3,1600,0,0.0
theta_ell6_q0,1600,33,2.0625
theta_ell6_q1,1600,22,1.375
theta_ell6_q2,1600,19,1.1875
theta_ell6_q3,1600,28,1.75
