depth,coefficient,estimate,se,ci95_lo,ci95_hi,n_obs,converged,singular_fit,error
1,E:L,-0.09029320439514889,0.046855060116866874,-0.18212743471766707,0.00154102592736928,6235,True,False,
1,E:R,-0.0013019432601515894,0.0474316452767293,-0.09426625973002038,0.0916623732097172,6235,True,False,
2,E:L,-0.11176222797207372,0.027120173693323202,-0.1649167916654578,-0.058607664278689624,12716,True,False,
2,E:R,0.00672213089924687,0.027202927892818862,-0.046594628044718166,0.06003888984321191,12716,True,False,
3,E:L,0.09804785080550504,0.018678045192471033,0.06143955492665032,0.13465614668435977,19121,True,False,
3,E:R,-0.021200333414852123,0.018710522283582103,-0.057872283222607165,0.015471616392902923,19121,True,False,
4,E:L,0.06669985324457309,0.013150740355974428,0.040924875776825756,0.09247483071232042,25521,True,False,
4,E:R,0.017886193074152783,0.01315839611755212,-0.007903789410561048,0.04367617555886662,25521,True,False,
6,E:L,0.024631791166937145,0.007912591715084724,0.009123396381001068,0.04014018595287322,38298,True,False,
6,E:R,-0.005845131580564964,0.007919018855510674,-0.021366123330259484,0.009675860169129556,38298,True,False,
