excluded_initialization_id,snr_E_L_estimate,numerator_E_L_estimate,numerator_delta_original_se_units,denominator_E_L_estimate,denominator_delta_original_se_units
0,0.023344841678921,0.0043756568668919405,0.09643984619291993,-0.1519832550555869,-0.17534079927118956
1,0.0332294027701624,0.004692785303241668,0.5981072391518818,-0.1375701560055181,1.0180174525619314
2,0.0225185187118102,0.004204939640705228,-0.17361876721955388,-0.15718544418320732,-0.6060653298857717
3,0.0265805546737287,0.004488305338081108,0.2746391445994529,-0.1475918780162062,0.18825109783926838
4,0.0261915367939789,0.004648950805006182,0.5287651810741578,-0.1288905180907971,1.7366635600003244
5,0.0267438833611157,0.004463790224825165,0.23585853855616537,-0.1467659356737154,0.25663646773964943
6,0.0270808139676374,0.004264270611031323,-0.07976274614551278,-0.1597890886127547,-0.8216387158762664
7,0.0197069143220803,0.0039002839947984676,-0.6555553774821745,-0.16544182570145927,-1.289667168800589
8,0.0250732782245284,0.00433048468978457,0.0249817058111336,-0.15308283951015328,-0.2663828560756169
9,0.023656814013244,0.004427425111655351,0.1783323459241064,-0.1554934467492545,-0.46597338346440687
10,0.0199614623627629,0.003853076486970645,-0.7302332198499795,-0.16234634973080173,-1.0333717128335613
11,0.0292819244806039,0.004636945118790614,0.5097733133824014,-0.13701070705129048,1.0643380269011307
12,0.0271749237882356,0.004333683240938867,0.03004151324212812,-0.14540250608172214,0.3695240534522346
13,0.0271734053843643,0.004428709197309384,0.18036364879246358,-0.15839094762473183,-0.7058771381970197
14,0.0303183852003087,0.004640139197020661,0.5148260450674518,-0.1350427842351421,1.2272757076499585
15,0.0211162233899649,0.003878057072522675,-0.6907162803641277,-0.15564620123795045,-0.4786209639019388
16,0.0197612831274337,0.0038570956896837273,-0.7238752187509487,-0.16801083541278455,-1.502372911500305
17,0.0229221525132856,0.004111439512092358,-0.3215271866046213,-0.15158496181177109,-0.14236339951102317
18,0.0256308948467542,0.0044590156173007125,0.22830555801375554,-0.14046864401082682,0.7780319666536837
19,0.026889701371719,0.004248409838081917,-0.10485299887538115,-0.12182008773579074,2.32207245636935
20,0.0203343801241938,0.0038928101330641235,-0.6673783245971072,-0.15985330787089988,-0.8269558639349818
21,0.0251740910787481,0.004458685438267183,0.2277832458021266,-0.15292777573336566,-0.25354407401028245
22,0.0202054172643681,0.004040393124590426,-0.433915897019542,-0.1681675799247976,-1.515350853037413
23,0.0238179575565958,0.004117940635900142,-0.3112430195034475,-0.15083764051487986,-0.08048759935744544
24,0.0246571913711744,0.0044458344626176855,0.20745420963851668,-0.14188992036934697,0.6603548546957759
25,0.0264944349630962,0.004389173537947543,0.11782194994873078,-0.1407310089658978,0.7563089920846379
26,0.0238065811598075,0.004268404371920162,-0.07322352477486109,-0.14967228100782165,0.016000420274491375
27,0.0222793148786883,0.003827950428388902,-0.769980284002046,-0.16316972869598467,-1.1015448433361366
28,0.0249757485935925,0.004347709675975621,0.05223001572519415,-0.14884946974098504,0.08412654717958967
29,0.0237396334602693,0.004130267290756847,-0.2917434095755358,-0.14218819676064515,0.635658528690788
30,0.0230627717473132,0.0040536713257188235,-0.4129110302849746,-0.15706875276466073,-0.5964036556853145
31,0.0243058478184808,0.004170036679457616,-0.22883197287584972,-0.15137640976821787,-0.12509596096457787
32,0.0203886525589925,0.004107132407504062,-0.328340621422649,-0.1722116947476536,-1.8501905553422968
33,0.0275236098749446,0.004492351669854311,0.2810400613228946,-0.14473777035339744,0.424562034106423
34,0.0252869982210775,0.00423465409562511,-0.12661329112779524,-0.14801740997248283,0.15301842028135124
35,0.0275862370970088,0.0046023200954901766,0.4549997794470286,-0.1359681654351378,1.1506571201227453
36,0.0276460411179903,0.004657893095354502,0.5429110443015615,-0.13119983591883652,1.5454594701218867
37,0.0188866677100492,0.0041272089146055825,-0.29658147332079043,-0.17086502453766603,-1.7386905925651142
38,0.0255382745211502,0.004249709327096504,-0.10279732933773088,-0.16015401757020112,-0.8518536600176138
39,0.0307768650995824,0.004927051744172609,0.9686947400153956,-0.13774133062544738,1.0038447444935705
40,0.0250801254019483,0.004472268504803083,0.249270380970094,-0.15415572071851227,-0.3552139699661292
41,0.0217847218981644,0.004233435186534806,-0.12854149079549318,-0.16522856915490772,-1.2720102125345796
42,0.0270290776848952,0.004415395781446328,0.15930307565599253,-0.1333873042200833,1.3643441292192817
43,0.0309338530882508,0.004939168445490366,0.9878622231692497,-0.14307990159848274,0.5618282356541261
44,0.025594772072337,0.004599177872162965,0.450029077346639,-0.14307637301537332,0.562120390988401
45,0.0294619012153008,0.004521568263639084,0.327257967871597,-0.14236817617805358,0.6207568117055396
46,0.0260160667406977,0.004214037674930607,-0.15922653181035165,-0.14954299695282133,0.026704724278031763
47,0.020252049620791,0.003869704159385499,-0.7039298042138732,-0.16332339928266762,-1.1142682737410123
48,0.0292530241937939,0.0046432010711333245,0.5196696422590156,-0.13079075200514456,1.5793303026472594
49,0.0235764714100182,0.004032316791326604,-0.4466918974935619,-0.16131048333401807,-0.947605306309593
