excluded_initialization_id,converged,n_obs,wallclock_s,estimate,se,p
0,True,99858,19.09375524520874,0.0043756568668919405,0.0006386982359025327,7.33879623737721e-12
1,True,99849,17.154932498931885,0.004692785303241668,0.0006391933259574255,2.1094237467877974e-13
2,True,99847,18.50823163986206,0.004204939640705228,0.0006399597461328717,5.010236669988899e-11
3,True,99846,25.64819073677063,0.004488305338081108,0.0006424041906879121,2.8137492336099967e-12
4,True,99857,55.66678214073181,0.004648950805006182,0.0006334790776987715,2.156053113822054e-13
5,True,99854,19.95223355293274,0.004463790224825165,0.0006394116838222857,2.928990383566088e-12
6,True,99848,19.362800359725952,0.004264270611031323,0.0006394911729833677,2.58917332018882e-11
7,True,99862,25.954970359802246,0.0039002839947984676,0.000641831914574431,1.2260474857583858e-09
8,True,99849,16.282399654388428,0.00433048468978457,0.0006388617366545428,1.2148282380053388e-11
9,True,99845,18.804627895355225,0.004427425111655351,0.000638040794220313,3.9461767187276564e-12
10,True,99844,17.314532041549683,0.003853076486970645,0.0006369453310527948,1.4547214544080589e-09
11,True,99848,18.509930849075317,0.004636945118790614,0.0006396734868831863,4.2010839251815923e-13
12,True,99851,17.18473982810974,0.004333683240938867,0.0006402327688266099,1.297495444418928e-11
13,True,99847,17.719200611114502,0.004428709197309384,0.000632825686499821,2.5908164502652653e-12
14,True,99883,20.539969444274902,0.004640139197020661,0.0006373489795016835,3.3284486278262193e-13
15,True,99843,17.30764102935791,0.003878057072522675,0.0006392665589623702,1.3079584082476003e-09
16,True,99847,16.528301239013672,0.0038570956896837273,0.0006373592422532761,1.4334089470935396e-09
17,True,99848,57.24815273284912,0.004111439512092358,0.0006379272014913987,1.1560197243909442e-10
18,True,99854,20.3824462890625,0.0044590156173007125,0.000641245295969402,3.5587088831334768e-12
19,True,99859,19.142627477645874,0.004248409838081917,0.0006419343387171449,3.6375125134213704e-11
20,True,99853,14.858128547668457,0.0038928101330641235,0.0006402897760431741,1.203602550958749e-09
21,True,99843,19.33790397644043,0.004458685438267183,0.0006360818310210727,2.389866082808112e-12
22,True,99843,15.914165258407593,0.004040393124590426,0.0006377755210021976,2.3713564445415614e-10
23,True,99847,16.803276538848877,0.004117940635900142,0.0006333521099353508,7.935474499731754e-11
24,True,99857,86.01937007904053,0.0044458344626176855,0.0006376716989971083,3.1250557697148906e-12
25,True,99844,20.349758625030518,0.004389173537947543,0.0006404219710627919,7.203126983768016e-12
26,True,99844,16.840288877487183,0.004268404371920162,0.0006408078001420664,2.7201796370945885e-11
27,True,99843,15.173952579498291,0.003827950428388902,0.000634589255636981,1.6177221784374751e-09
28,True,99868,40.353869676589966,0.004347709675975621,0.0006385375927486602,9.837908265808437e-12
29,True,99859,17.943636417388916,0.004130267290756847,0.0006401235399881505,1.1016720868894936e-10
30,True,99849,20.186357021331787,0.0040536713257188235,0.000638534225096738,2.1756441093145895e-10
31,True,99849,19.398590087890625,0.004170036679457616,0.0006409620148653879,7.722800177134559e-11
32,True,99865,20.492069959640503,0.004107132407504062,0.0006384854658015324,1.2542544780558273e-10
33,True,99878,16.779298782348633,0.004492351669854311,0.0006382853099777858,1.9479973190072997e-12
34,True,99846,18.876206159591675,0.00423465409562511,0.0006372668999867656,3.0316638088834225e-11
35,True,99869,21.16309142112732,0.0046023200954901766,0.0006390909565180797,5.961897642237091e-13
36,True,99868,17.579689264297485,0.004657893095354502,0.0006389677232720408,3.106404022901188e-13
37,True,99854,21.100395679473877,0.0041272089146055825,0.0006385215836975478,1.0217648949151226e-10
38,True,99856,20.238246202468872,0.004249709327096504,0.0006393141504445532,2.985300895375076e-11
39,True,99863,42.96294808387756,0.004927051744172609,0.0006378580408842725,1.1324274851176597e-14
40,True,99849,85.32395529747009,0.004472268504803083,0.0006407263965191598,2.9518609778733662e-12
41,True,99848,17.45060396194458,0.004233435186534806,0.0006414035726416924,4.104161455131816e-11
42,True,99863,85.0403790473938,0.004415395781446328,0.0006360946159907475,3.882005827904322e-12
43,True,99846,20.4544575214386,0.004939168445490366,0.0006380490074012154,9.769962616701378e-15
44,True,99852,22.194618940353394,0.004599177872162965,0.0006376873175428458,5.502265310042276e-13
45,True,99857,18.088304042816162,0.004521568263639084,0.0006412274430321396,1.7710277688820497e-12
46,True,99843,17.72999668121338,0.004214037674930607,0.0006369294883662235,3.686095872978967e-11
47,True,99848,21.16675114631653,0.003869704159385499,0.0006385947649226808,1.3636043405540477e-09
48,True,99867,19.606647968292236,0.0046432010711333245,0.0006403589645462141,4.1389114358025836e-13
49,True,99849,22.009351015090942,0.004032316791326604,0.0006418530269411154,3.3358849016451586e-10
