iteration,n_total_cells,n_zero_variance,n_l0_zero_variance,n_l1_zero_variance,n_non_finite_unexplained,converged,error,wallclock_s,n_obs_fit
0,102400,820,820,0,0,True,,187.57325792312625,101580
1,102400,767,767,0,0,True,,147.29933428764343,101633
2,102400,922,922,0,0,True,,192.0286829471588,101478
3,102400,795,795,0,0,True,,309.81952476501465,101605
4,102400,794,794,0,0,True,,148.25094842910767,101606
5,102400,828,828,0,0,True,,129.95566272735596,101572
6,102400,895,895,0,0,True,,133.00007033348083,101505
7,102400,958,958,0,0,True,,131.65775394439697,101442
8,102400,870,870,0,0,True,,137.3251914978027,101530
9,102400,828,828,0,0,True,,145.7096812725067,101572
10,102400,874,874,0,0,True,,136.37540650367737,101526
11,102400,876,876,0,0,True,,201.86702871322632,101524
12,102400,1009,1009,0,0,True,,184.56915640831,101391
13,102400,787,787,0,0,True,,136.41838479042053,101613
14,102400,718,718,0,0,True,,137.11772966384888,101682
15,102400,933,933,0,0,True,,146.68615055084229,101467
16,102400,853,853,0,0,True,,179.488511800766,101547
17,102400,836,836,0,0,True,,138.3757565021515,101564
18,102400,664,664,0,0,True,,130.511549949646,101736
19,102400,829,829,0,0,True,,137.6345956325531,101571
20,102400,872,872,0,0,True,,130.41744685173035,101528
21,102400,969,969,0,0,True,,287.1204242706299,101431
22,102400,898,898,0,0,True,,133.72773361206055,101502
23,102400,1025,1025,0,0,True,,135.20397996902466,101375
24,102400,1052,1052,0,0,True,,131.11687707901,101348
25,102400,843,843,0,0,True,,140.82342171669006,101557
26,102400,857,857,0,0,True,,139.16986989974976,101543
27,102400,894,894,0,0,True,,179.4953327178955,101506
28,102400,828,828,0,0,True,,236.84047317504883,101572
29,102400,824,824,0,0,True,,133.9596562385559,101576
30,102400,830,830,0,0,True,,121.82856273651123,101570
31,102400,734,734,0,0,True,,128.20394229888916,101666
32,102400,711,711,0,0,True,,135.43432307243347,101689
33,102400,893,893,0,0,True,,138.05081725120544,101507
34,102400,791,791,0,0,True,,131.91454315185547,101609
35,102400,917,917,0,0,True,,125.29532408714294,101483
36,102400,702,702,0,0,True,,128.686101436615,101698
37,102400,722,722,0,0,True,,130.81578969955444,101678
38,102400,846,846,0,0,True,,128.36555409431458,101554
39,102400,847,847,0,0,True,,135.80666375160217,101553
