completed,estimand,median,ci_lo,ci_hi
100,J_EL_given_R0,1.1517874705982258,0.9986108169516216,1.3869413055259516
100,J_EL_given_R1,1.2439800192931165,1.0521888856243165,1.4915729922381826
250,J_EL_given_R0,1.1523418723791532,1.015808987115911,1.3638713289315527
250,J_EL_given_R1,1.2435039824605107,1.0385512288387226,1.486180569329867
400,J_EL_given_R0,1.1604889501677094,1.0193013626891707,1.3581724860715931
400,J_EL_given_R1,1.2429698679171106,1.0452447960220714,1.4737902124736402
1000,J_EL_given_R0,1.1618180388859445,1.0121648245118642,1.3458502562513648
1000,J_EL_given_R1,1.2420146263620044,1.0580942187793216,1.458388020203769
2000,J_EL_given_R0,1.160948575134119,1.007099980063186,1.352596352337025
2000,J_EL_given_R1,1.2381574864575047,1.0498742961154315,1.4492578287923135
