completed,estimand,median,ci_lo,ci_hi
100,J_EL_given_R0,1.2186334743568645,1.0959501950032287,1.4179721312040399
100,J_EL_given_R1,1.126601578109307,0.9603839771423304,1.283889445242187
250,J_EL_given_R0,1.2433236290729468,1.1045193014945893,1.4232543023207367
250,J_EL_given_R1,1.1283524868586114,0.9907378934755572,1.2963959351002166
400,J_EL_given_R0,1.2523249259166946,1.0942908411986563,1.4252265666946784
400,J_EL_given_R1,1.1272789059653807,0.9927587196423098,1.299542074984402
1000,J_EL_given_R0,1.241007163892659,1.0936591419257433,1.4166362298494728
1000,J_EL_given_R1,1.1258365015792409,0.9897288317675964,1.28862324101002
2000,J_EL_given_R0,1.2386742193044422,1.0822096652259177,1.414863720654239
2000,J_EL_given_R1,1.1243286928424672,0.9913313108894982,1.2851519618383114
