task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),0,3,sum,23.150369451698747,27.13255403765685,10.67899317514632,1.0838892607053294,32.021042774352814,6,6,0,,0.43215583552233544
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),1,3,sum,18.769022551761136,12.94149938348324,11.028289421035163,8.126799079764298,34.98198000868402,6,6,0,,0.4095787518834782
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),2,3,sum,10.27460040837066,10.425247534662855,6.64085264226601,0.5506101836487861,21.46392515412025,6,6,0,,0.21425741570001886
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),3,3,sum,23.333620975096093,21.2297117154715,11.062176116959034,6.396768315886675,38.30555411948124,6,6,0,,0.5165569253847951
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),4,3,sum,17.096204162506556,18.619419960004066,4.967993296735063,7.80038385205458,22.288519244827185,6,6,0,,0.390573941276406
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),5,3,sum,33.046717281200166,20.80738783954671,35.98845541994577,0.07669477354309115,109.63915665037611,6,6,0,,0.5150466443724929
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),6,3,sum,21.671657255301877,22.669419723426792,11.76184682034692,2.3055374906321435,39.6377718810078,6,6,0,,0.4717398088621088
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),7,3,sum,23.125372118694926,18.362315128422754,19.689718983961377,0.024571952061359724,58.91470479545745,6,6,0,,0.48077581186690344
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),8,3,sum,33.94583414831708,13.968901607396395,37.23947757428786,5.261424751220301,106.24504328000792,6,6,0,,0.4610584782736689
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),9,3,sum,121.46459491055788,30.27468429472511,150.19494804606018,3.1252304312625596,363.94646669944683,6,6,0,,0.6886797492582999
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),10,3,sum,28.34802965627847,21.410054203109233,24.658877383857558,2.5988346056024274,61.09008571904389,6,6,0,,0.5372016735845119
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),11,3,sum,21.1172897426278,15.897262674481816,10.976392331702877,10.411289388709404,39.824293048386615,6,6,0,,0.44868307352478326
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),12,3,sum,26.064584987530253,27.027372287605942,18.06834844380908,3.0095795325926624,48.823058005695884,6,6,0,,0.4827275449778771
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),13,3,sum,15.851839586597015,15.060301822333553,7.347051305369769,4.4385288763648445,26.044206577597976,6,6,0,,0.3797654296154335
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),14,3,sum,47.829909680518874,18.488255342911984,50.68488080022247,6.296096764561602,141.529476435789,6,6,0,,0.6551793981246415
