,Intercept,E,L,E:L,R,E:R,L:R,E:L:R,depth_z,E:depth_z,L:depth_z,R:depth_z
Intercept,0.9999999999999896,0.49999999999999734,0.4999999999999976,0.2500000000000004,0.4999999999999977,0.2500000000000002,0.2500000000000004,0.1250000000000002,-1.8357436260025064e-15,-2.52241431271319e-15,-1.1399164179262845e-15,-1.3422747171689918e-15
E_c,2.604737149797081e-16,1.0000000000000604,1.0973169441159868e-16,0.500000000000026,-2.2333521297594825e-16,0.5000000000000256,-1.6782406174469043e-16,0.25000000000001305,0.0,-2.2315482794965646e-14,2.220446049250313e-16,-4.440892098500626e-15
L_c,2.604737149796898e-16,6.221048023063225e-16,1.0000000000000113,0.5000000000000038,-4.718447854656915e-16,2.2268990895048983e-16,0.5000000000000027,0.25000000000000205,-3.8231905196247254e-17,2.2139930089957279e-16,-2.7228864982957424e-14,-3.3371221141300543e-16
E_c:L_c,-2.533127797513152e-16,-8.614646802256809e-16,-1.3877787807814457e-16,1.000000000000079,5.377642775528102e-17,7.134050294954619e-17,2.5326962749261384e-16,0.5000000000000414,4.029045443658097e-31,-1.3183898417423734e-16,1.3053794156725473e-16,5.898059818321144e-17
R_c,2.604737149796805e-16,1.3752438928473847e-15,3.191891195797325e-16,3.892233626442633e-16,0.9999999999999722,0.4999999999999872,0.49999999999998584,0.24999999999999267,3.034467632174651e-17,3.740549667855318e-16,3.7232024330955505e-16,-2.2864300717399777e-14
E_c:R_c,-2.5331277975130333e-16,-7.908029426004931e-16,-7.251144129583054e-16,-4.683753385137379e-17,-5.596651614370174e-16,1.000000000000023,-1.1188966420050406e-16,0.5000000000000118,4.2081569284861103e-32,2.8796409701215e-16,-3.036850285131898e-16,6.331740687315346e-17
L_c:R_c,-2.5331277975129135e-16,-1.0387532763197096e-15,-1.1796119636642288e-16,4.2674197509029455e-16,6.071532165918825e-17,-9.86623976961809e-17,0.9999999999999827,0.499999999999991,3.1007472104634497e-31,-1.734723475976807e-17,1.6349768761081407e-16,-4.0939474033052647e-16
E_c:L_c:R_c,5.06372724902841e-16,1.6424363302056408e-15,4.189357194483989e-16,-1.942890293094024e-16,7.317822563190912e-16,2.8210940528072825e-16,-6.505213034913027e-17,1.000000000000082,-1.5494106402595312e-31,2.489328188026718e-16,-5.987506497551198e-17,2.7885679876327174e-16
depth_z,-9.780357219699121e-17,2.220446049250313e-16,6.136432207808922e-17,-1.1102230246251565e-16,-2.1921729969592554e-16,1.1102230246251565e-16,-2.5207087335178658e-17,-1.6653345369377348e-16,1.0000000000000027,0.5000000000000042,0.5000000000000017,0.5000000000000022
E_c:depth_z,-2.4901273476261965e-16,-2.124792724596884e-15,1.1102230246251565e-16,-7.771561172376096e-16,-4.676814491233472e-15,-3.25434124093249e-15,-2.220446049250313e-15,-1.5543122344752192e-15,-7.515474188922127e-17,1.0000000000000446,2.220446049250313e-16,-1.9984014443252818e-15
L_c:depth_z,-2.4901273476261457e-16,-9.293803953500088e-16,-7.840950111415168e-16,-8.673617379884035e-17,3.382710778154774e-17,-4.423544863740858e-16,7.28583859910259e-17,1.942890293094024e-16,7.110989925985981e-17,-6.522560269672795e-16,1.0000000000000504,-2.255140518769849e-16
R_c:depth_z,-2.4901273476261063e-16,-3.1886816005063504e-16,1.1102230246251565e-16,6.661338147750939e-16,1.4016565685892601e-15,5.342948306008566e-16,6.106226635438361e-16,8.049116928532385e-16,-5.643995153357823e-17,7.216449660063518e-16,-3.365363543395006e-16,1.0000000000000437
