,Intercept,E,L,E:L,R,E:R,L:R,E:L:R,depth_z,log2_budget,E:depth_z,L:depth_z,R:depth_z,L:R:depth_z
Intercept,1.0000000000000075,0.5000000000000049,0.5000000000000058,0.2500000000000079,0.5000000000000018,0.2500000000000014,0.2500000000000041,0.125000000000003,-1.4581844926923566e-14,-3.4637396478405487e-13,-9.529999773824153e-15,-8.00474065744101e-15,-5.389401528207985e-15,1.1396781434838621e-15
E_c,-1.3122081700898217e-16,0.9999999999999614,-6.9278892518565005e-15,0.49999999999997863,-2.0638804792798282e-15,0.4999999999999789,-3.9166261379952605e-15,0.24999999999998815,3.191891195797325e-16,1.4432899320127035e-15,-2.331815296408024e-14,4.850286838831153e-15,-6.782768791069316e-15,2.607289384393141e-15
L_c,-2.3450312136424717e-16,1.728218262941894e-16,0.9999999999999117,0.49999999999995587,-1.8464608347198442e-15,1.7695263657135918e-15,0.4999999999999556,0.24999999999997655,1.4925228750389125e-16,4.929867278291589e-16,-3.555562250602117e-15,1.7154446672841203e-14,-6.8814904810718044e-15,1.2324049014644529e-14
E_c:L_c,8.911601332558658e-17,3.69319917530031e-16,8.053110225657546e-16,1.000000000000428,1.9613062683662677e-15,7.358256527961043e-15,1.0046414943699023e-15,0.50000000000021,-1.7651785455953355e-16,-1.0123737785583398e-16,-5.668739412137435e-15,7.997515469627416e-15,-1.6250575485485534e-14,9.65226558873538e-15
R_c,-1.8619023322877868e-16,-1.4321971885354612e-15,-4.0688120976421874e-18,-1.6408214034441954e-15,1.0000000000000702,0.5000000000000331,0.5000000000000332,0.2500000000000195,1.6400421331327214e-16,3.486116560355579e-16,-2.0506265312376665e-16,-1.155513876314844e-16,-5.1710704979340914e-14,-2.3150450499040138e-14
E_c:R_c,5.794171131480661e-17,4.949416798714218e-16,4.0699981464275935e-16,1.973653682705353e-15,-3.702949433387905e-16,0.9999999999999614,3.2493799650604007e-16,0.49999999999997824,6.264338040537585e-18,-1.304142747569556e-16,-3.757448847811035e-15,-3.4718054622556846e-15,4.057859723406173e-15,1.2151001268781439e-14
L_c:R_c,2.3156287550740903e-16,5.378862502972148e-16,1.2649128616406427e-15,3.5486851901033595e-15,-8.453479602874e-16,-4.920854847732803e-16,1.000000000000125,0.5000000000000607,-3.3185310917413155e-16,-6.782667147115645e-16,-2.2124825631175834e-15,3.084179309850916e-16,1.7981819138356784e-15,-4.417576420778576e-14
E_c:L_c:R_c,-1.887291931633985e-16,-4.826266678512915e-16,-8.3840904735833865e-16,-2.9321125436215355e-15,3.3400835958960416e-16,4.2691646387742893e-16,-1.676015404957508e-15,1.0000000000002418,-1.6217928082841275e-17,2.6907441525543183e-16,1.6171772198754204e-15,5.128550555712669e-15,7.488159088938739e-15,1.863041230369256e-14
depth_z,-1.6306901544539958e-16,-6.869504964868156e-16,-1.0376373832431465e-15,-1.4606371667724716e-15,-3.0826239456015203e-16,-4.2327252813834093e-16,-8.285701701029984e-16,-7.060324547225605e-16,1.000000000000026,7.632783294297951e-17,0.5000000000000132,0.5000000000000149,0.5000000000000148,0.25000000000000694
log2_budget,2.0464447210651075e-17,0.0,-1.634434775021898e-16,-4.996003610813204e-16,1.8782447385595757e-16,1.1102230246251565e-16,-1.7328261221749575e-16,-1.6653345369377348e-16,-4.163336342344337e-17,1.0000000000000373,1.8041124150158794e-16,-9.367506770274758e-17,-9.749145934989656e-16,-8.98586760555986e-16
E_c:depth_z,2.231065733562751e-16,7.145214189199431e-16,4.239936861166509e-16,1.9293360718720606e-15,-3.702066073770075e-17,1.7422281878894802e-16,3.7875317912058527e-16,5.53874844209587e-16,-2.9514270124013017e-16,-5.200833118118239e-16,1.0000000000000406,1.609258838247132e-16,-2.042183359758995e-15,-3.072823456764433e-15
L_c:depth_z,2.448211375225038e-16,7.911355489990946e-16,-1.2320160392262803e-18,1.6491121619319205e-15,-3.596858036654494e-17,7.904172650598229e-17,1.4338823953256093e-16,5.930128485704192e-16,-2.9276804437250274e-16,-5.288060571026487e-16,-8.903315774520457e-16,0.9999999999999574,8.85207239879394e-16,0.4999999999999801
R_c:depth_z,-1.3021580358979475e-18,-9.663697251270642e-16,1.538843849486998e-15,1.733930653138177e-15,-1.3401063979396502e-15,-1.2206727328153283e-15,6.202122171888195e-16,1.6782772003717805e-16,-3.2020810021527943e-16,-5.0187718564354e-16,6.313184313023372e-16,-1.1547794987495745e-15,1.0000000000000924,0.5000000000000443
L_c:R_c:depth_z,-1.2472082533941215e-16,-5.460821410948474e-16,-1.1527895553130394e-15,-3.753804382676355e-15,7.279508613940688e-16,1.0562331445671674e-16,-9.692979006549295e-16,-1.2580175684268231e-15,6.350392352813886e-16,1.0070408591224267e-15,2.0890479457251216e-16,6.283736153820892e-16,-5.559468985568078e-16,1.0000000000000917
