coefficient,estimate,se
Intercept,0.026832615486067482,0.0012355717400081318
E,-0.0014208643686582714,0.0011227626845256846
L,0.020037538454415745,0.0011227626845256846
E:L,0.004345925498518687,0.001529141060649773
R,0.0019789262307019534,0.0011227626845256849
E:R,0.00429632989016565,0.0015291410606497733
L:R,0.0033799262434245927,0.0015291410606497738
E:L:R,-0.0006062573977249218,0.0021625320267524973
depth_z,-0.010901251974925872,0.0007517147592704307
E:depth_z,0.002919323291709828,0.0005624959176389556
L:depth_z,-0.004551271007874493,0.0005624959176389554
R:depth_z,0.004298134447647421,0.0005624959176389557
Group Var,0.01467453715218043,0.004605262698851234
param Var,0.39297111149640035,0.013942360075281884
