depth,budget,best_single_intervention_config,config8_rms_SNR_est,best_single_rms_SNR_est,config8_exceeds_best_single_SNR,config8_final_energy,baseline_final_energy,config8_energy_improves_on_baseline,config8_global_fidelity,baseline_global_fidelity,config8_fidelity_improves_on_baseline,config8_cost_normalized_SNR,best_single_cost_normalized_SNR,cost_normalized_advantage_remains,label,three_way_coefficient,three_way_estimate,three_way_se,three_way_note
1,250,3,2.4784418533217383,2.579333592904201,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.009913767413286954,0.010317334371616804,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
1,500,3,3.469493476268243,3.612980608265358,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.006938986952536486,0.007225961216530716,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
1,1000,3,4.8432519140399855,5.1808560995912,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.004843251914039986,0.0051808560995912,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
1,2000,3,6.7487550725530046,7.415704089121893,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.0033743775362765024,0.0037078520445609463,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
2,250,3,1.347547130169734,1.5733126475231012,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.0053901885206789355,0.006293250590092405,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
2,500,3,1.9804992572498252,2.2873318882249287,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.003960998514499651,0.004574663776449857,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
2,1000,3,2.7558272320626918,3.213942704007894,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.0027558272320626917,0.003213942704007894,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
2,2000,3,4.022989201745879,4.481214196036631,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.0020114946008729395,0.0022406070980183156,False,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
3,250,3,1.1810514509091143,1.0265411413199355,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.004724205803636457,0.004106164565279742,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
3,500,3,1.675596825004589,1.5275536916041614,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0033511936500091777,0.0030551073832083228,True,exploratory,E:L:R,-0.011128089607101935,0.007988124964610509,exploratory only; not part of the H1-H4 Holm family
