coefficient,estimate,se
Intercept,-0.8260370022759048,0.013926561923998727
E,0.07158019524602476,0.0053666165694557875
L,0.22516549651891074,0.005552118409708627
E:L,0.024995843985971582,0.007279011371641417
R,-0.0011835055426822935,0.0055750251777636
E:R,-0.0009575787575784316,0.007292917086826747
L:R,-0.008314821546781362,0.007843507626788137
E:L:R,-0.021315055158096483,0.010287355020239497
depth_z,-0.21643422601402237,0.006227801366241049
log2_budget,0.1484425451089245,0.0011504561486227667
E:depth_z,-0.012164020376005683,0.0026823832793925555
L:depth_z,-0.09013102158708283,0.003794275300964215
R:depth_z,-0.002341738916330962,0.0038085613068473004
L:R:depth_z,-0.010178757716721849,0.005362074992735445
Group Var,0.006797058487801809,0.0031286899407322486
param Var,0.5207410943048647,0.014139313178976572
