n,coefficient,median,ci_lo,ci_hi,width,includes_zero,lo_move_since_prev,hi_move_since_prev
40,E:L,0.02084560337008317,-0.012624540910624918,0.055332427904089085,0.067956968814714,True,,
40,E:R,-0.004466027485603588,-0.02144446226984476,0.016996096029418404,0.03844055829926316,True,,
40,L:R:depth_z,-0.009713295335994594,-0.0248294357125135,0.006449514223244875,0.031278949935758374,True,,
100,E:L,0.022765127513140998,-0.02098289666455566,0.05729264066998858,0.07827553733454423,True,-0.008358355753930744,0.0019602127658994925
100,E:R,-0.004215921423724801,-0.030833156060876346,0.02555805972970669,0.05639121579058304,True,-0.009388693791031587,0.008561963700288285
100,L:R:depth_z,-0.010274203038938286,-0.027224237371588994,0.0058263990631202914,0.033050636434709284,True,-0.002394801659075494,-0.0006231151601245833
200,E:L,0.023421828189606437,-0.01512377872561355,0.061584714693599316,0.07670849341921286,True,0.005859117938942112,0.004292074023610738
200,E:R,-0.0023820503145087976,-0.02895690443500504,0.025130468206317085,0.05408737264132213,True,0.001876251625871305,-0.00042759152338960396
200,L:R:depth_z,-0.010600692997128073,-0.0248294357125135,0.005710883306227882,0.030540319018741383,True,0.002394801659075494,-0.00011551575689240905
400,E:L,0.023598090234390315,-0.015123778725613548,0.06272565746046499,0.07784943618607854,True,1.734723475976807e-18,0.001140942766865674
400,E:R,-0.0018067393549883628,-0.030143442917864093,0.024790684764983376,0.05493412768284747,True,-0.0011865384828590522,-0.0003397834413337089
400,L:R:depth_z,-0.010826803934601247,-0.026885044346043357,0.006433033501360768,0.03331807784740413,True,-0.0020556086335298575,0.0007221501951328859
