configuration_id,E,L,R,depth,budget,analysis_mode,cost_type,total_requested_shots,total_realized_shots,total_jobs,shifted_jobs,forward_feature_jobs,node_jacobian_jobs,objective_observable_jobs,objective_observable_settings,minimum_shots_per_job,mean_shots_per_job,median_shots_per_job,maximum_shots_per_job,zero_shot_jobs,base_shots,remainder_shots,remainder_policy
1,0,0,0,1,250,finite_shot_conditional,global,250,250,8,8,0,0,8,1,31,31.25,31.0,32,0,31,2,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,250,finite_shot_end_to_end,global,250,250,8,8,0,0,8,1,31,31.25,31.0,32,0,31,2,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,500,finite_shot_conditional,global,500,500,8,8,0,0,8,1,62,62.5,62.5,63,0,62,4,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,500,finite_shot_end_to_end,global,500,500,8,8,0,0,8,1,62,62.5,62.5,63,0,62,4,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,1000,finite_shot_conditional,global,1000,1000,8,8,0,0,8,1,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,1000,finite_shot_end_to_end,global,1000,1000,8,8,0,0,8,1,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,2000,finite_shot_conditional,global,2000,2000,8,8,0,0,8,1,250,250.0,250.0,250,0,250,0,"sorted(block,parameter,shift,basis)"
1,0,0,0,1,2000,finite_shot_end_to_end,global,2000,2000,8,8,0,0,8,1,250,250.0,250.0,250,0,250,0,"sorted(block,parameter,shift,basis)"
1,0,0,0,2,250,finite_shot_conditional,global,250,250,16,16,0,8,8,1,15,15.625,16.0,16,0,15,10,"sorted(block,parameter,shift,basis)"
1,0,0,0,2,250,finite_shot_end_to_end,global,250,250,17,16,1,8,8,1,14,14.705882352941176,15.0,15,0,14,12,"sorted(block,parameter,shift,basis)"
1,0,0,0,2,500,finite_shot_conditional,global,500,500,16,16,0,8,8,1,31,31.25,31.0,32,0,31,4,"sorted(block,parameter,shift,basis)"
1,0,0,0,2,500,finite_shot_end_to_end,global,500,500,17,16,1,8,8,1,29,29.41176470588235,29.0,30,0,29,7,"sorted(block,parameter,shift,basis)"
1,0,0,0,2,1000,finite_shot_conditional,global,1000,1000,16,16,0,8,8,1,62,62.5,62.5,63,0,62,8,"sorted(block,parameter,shift,basis)"
