excluded_initialization_id,converged,n_obs,wallclock_s,E:L_estimate,E:L_se,E:L_p,E:R_estimate,E:R_se,E:R_p,L:R:depth_z_estimate,L:R:depth_z_se,L:R:depth_z_p
0,True,99858,107.85491919517517,0.02334484167892108,0.007341001168489519,0.0014724334988891474,-0.0007587326436547569,0.007354870883715759,0.9178355366064337,-0.009768178327441937,0.005407197079601587,0.07083805751064398
1,True,99849,70.83524584770203,0.03322940277016242,0.007342146325924157,6.01551805656797e-06,0.0025653114256615453,0.0073562425097379825,0.7272951862734118,-0.010761769561612095,0.005408462054771023,0.046612731724924084
2,True,99847,70.31306576728821,0.022518518711810296,0.007340022365029175,0.002155624430112857,-0.003067076572242627,0.007354245661439657,0.6766429877339752,-0.009442412294911278,0.005407217039198875,0.08076560745766859
3,True,99846,52.56158447265625,0.026580554673728714,0.007351246756734348,0.0002994345961413458,0.0011330569243997314,0.007365577416826714,0.8777426921724165,-0.008348756945722553,0.005415487736697046,0.1231600027785531
4,True,99857,45.94861316680908,0.02619153679397896,0.007346170071994558,0.00036339558703679664,-0.003331020067809743,0.007359832092242944,0.6508407068954072,-0.012109385438388857,0.005411222941259831,0.02523228306066705
5,True,99854,43.586222887039185,0.026743883361115744,0.007345315483155571,0.0002716400742421854,-0.004306843751944447,0.007359410953851816,0.5584026055674052,-0.010661521928658654,0.005411076284568905,0.04880234050806065
6,True,99848,158.06374382972717,0.027080813967637462,0.007360951593630347,0.0002341661002369655,0.0020375574290137847,0.007375145316404313,0.7823379852070618,-0.010585411718970756,0.005422610372120628,0.050927777764991244
7,True,99862,38.383416175842285,0.019706914322080372,0.007342724287453851,0.007277549036774245,-0.002629438855857591,0.007356377134221015,0.7207649379260823,-0.010041926094794682,0.005408343071782234,0.06334712253453745
8,True,99849,44.8663272857666,0.025073278224528494,0.007362640059358817,0.000660493376693605,-0.004752272961774006,0.007376691214538388,0.5194274266313448,-0.010393298348027685,0.00542343554729377,0.055318270625827504
9,True,99845,73.31388545036316,0.023656814013244078,0.007329110103170067,0.0012475136942415865,0.0006779374906873917,0.007343392057849494,0.9264442815006066,-0.010482815884780434,0.005399201969470745,0.05219170631901893
10,True,99844,54.92420244216919,0.0199614623627629,0.007360837590366656,0.006690955000887122,-0.0030521909205611262,0.007375112048281203,0.6789838841708316,-0.013895293084495818,0.005422450343606368,0.010390701379324963
