configuration_id,depth,budget,total_endtoend,excluded_endtoend,pct_endtoend,total_conditional,excluded_conditional,pct_conditional,pct_diff_endtoend_minus_conditional
1,1,250,200,23,11.5,200,20,10.0,1.5
1,1,500,200,13,6.5,200,14,7.0,-0.5
1,1,1000,200,13,6.5,200,11,5.5,1.0
1,1,2000,200,7,3.5,200,11,5.5,-2.0
1,2,250,400,15,3.75,400,32,8.0,-4.25
1,2,500,400,12,3.0,400,26,6.5,-3.5
1,2,1000,400,7,1.75,400,16,4.0,-2.25
1,2,2000,400,6,1.5,400,9,2.25,-0.75
1,3,250,600,12,2.0,600,29,4.833333333333333,-2.833333333333333
1,3,500,600,9,1.5,600,21,3.5,-2.0
1,3,1000,600,8,1.3333333333333333,600,12,2.0,-0.6666666666666667
1,3,2000,600,3,0.5,600,10,1.6666666666666667,-1.1666666666666667
1,4,250,800,22,2.75,800,39,4.875,-2.125
1,4,500,800,14,1.75,800,35,4.375,-2.625
1,4,1000,800,7,0.875,800,27,3.375,-2.5
1,4,2000,800,5,0.625,800,24,3.0,-2.375
1,6,250,1200,31,2.5833333333333335,1200,63,5.25,-2.6666666666666665
1,6,500,1200,8,0.6666666666666666,1200,26,2.1666666666666665,-1.5
1,6,1000,1200,11,0.9166666666666666,1200,14,1.1666666666666667,-0.2500000000000001
1,6,2000,1200,3,0.25,1200,10,0.8333333333333334,-0.5833333333333334
2,1,250,200,12,6.0,200,12,6.0,0.0
2,1,500,200,8,4.0,200,7,3.5,0.5
2,1,1000,200,4,2.0,200,4,2.0,0.0
2,1,2000,200,3,1.5,200,1,0.5,1.0
2,2,250,400,2,0.5,400,5,1.25,-0.75
2,2,500,400,1,0.25,400,6,1.5,-1.25
2,2,1000,400,0,0.0,400,1,0.25,-0.25
2,2,2000,400,0,0.0,400,1,0.25,-0.25
2,3,250,600,6,1.0,600,12,2.0,-1.0
2,3,500,600,5,0.8333333333333334,600,9,1.5,-0.6666666666666666
2,3,1000,600,2,0.3333333333333333,600,5,0.8333333333333334,-0.5
2,3,2000,600,1,0.16666666666666666,600,1,0.16666666666666666,0.0
2,4,250,800,5,0.625,800,28,3.5,-2.875
2,4,500,800,5,0.625,800,12,1.5,-0.875
2,4,1000,800,5,0.625,800,7,0.875,-0.25
2,4,2000,800,1,0.125,800,5,0.625,-0.5
2,6,250,1200,9,0.75,1200,19,1.5833333333333333,-0.8333333333333333
2,6,500,1200,5,0.4166666666666667,1200,32,2.6666666666666665,-2.25
2,6,1000,1200,1,0.08333333333333333,1200,9,0.75,-0.6666666666666666
2,6,2000,1200,2,0.16666666666666666,1200,5,0.4166666666666667,-0.25
3,1,250,200,0,0.0,200,0,0.0,0.0
3,1,500,200,0,0.0,200,0,0.0,0.0
3,1,1000,200,0,0.0,200,0,0.0,0.0
3,1,2000,200,0,0.0,200,0,0.0,0.0
3,2,250,400,0,0.0,400,0,0.0,0.0
3,2,500,400,0,0.0,400,0,0.0,0.0
3,2,1000,400,0,0.0,400,0,0.0,0.0
3,2,2000,400,0,0.0,400,0,0.0,0.0
3,3,250,600,0,0.0,600,0,0.0,0.0
3,3,500,600,0,0.0,600,0,0.0,0.0
3,3,1000,600,0,0.0,600,0,0.0,0.0
3,3,2000,600,0,0.0,600,0,0.0,0.0
3,4,250,800,0,0.0,800,0,0.0,0.0
3,4,500,800,0,0.0,800,0,0.0,0.0
3,4,1000,800,0,0.0,800,0,0.0,0.0
3,4,2000,800,0,0.0,800,0,0.0,0.0
3,6,250,1200,0,0.0,1200,0,0.0,0.0
3,6,500,1200,0,0.0,1200,0,0.0,0.0
3,6,1000,1200,0,0.0,1200,0,0.0,0.0
3,6,2000,1200,0,0.0,1200,0,0.0,0.0
4,1,250,200,21,10.5,200,22,11.0,-0.5
4,1,500,200,18,9.0,200,18,9.0,0.0
4,1,1000,200,7,3.5,200,11,5.5,-2.0
4,1,2000,200,10,5.0,200,8,4.0,1.0
4,2,250,400,11,2.75,400,23,5.75,-3.0
4,2,500,400,11,2.75,400,23,5.75,-3.0
4,2,1000,400,4,1.0,400,14,3.5,-2.5
4,2,2000,400,8,2.0,400,10,2.5,-0.5
4,3,250,600,8,1.3333333333333333,600,39,6.5,-5.166666666666667
4,3,500,600,8,1.3333333333333333,600,25,4.166666666666667,-2.833333333333334
4,3,1000,600,3,0.5,600,19,3.1666666666666665,-2.6666666666666665
4,3,2000,600,7,1.1666666666666667,600,16,2.6666666666666665,-1.4999999999999998
4,4,250,800,3,0.375,800,35,4.375,-4.0
4,4,500,800,4,0.5,800,29,3.625,-3.125
4,4,1000,800,2,0.25,800,12,1.5,-1.25
4,4,2000,800,3,0.375,800,11,1.375,-1.0
4,6,250,1200,7,0.5833333333333334,1200,81,6.75,-6.166666666666667
4,6,500,1200,7,0.5833333333333334,1200,49,4.083333333333333,-3.4999999999999996
4,6,1000,1200,4,0.3333333333333333,1200,44,3.6666666666666665,-3.333333333333333
4,6,2000,1200,6,0.5,1200,40,3.3333333333333335,-2.8333333333333335
5,1,250,200,0,0.0,200,0,0.0,0.0
5,1,500,200,0,0.0,200,0,0.0,0.0
5,1,1000,200,0,0.0,200,0,0.0,0.0
5,1,2000,200,0,0.0,200,0,0.0,0.0
5,2,250,400,0,0.0,400,0,0.0,0.0
5,2,500,400,0,0.0,400,0,0.0,0.0
