stream,shard_seed,iteration,rng_key,status,failure_reason,pooling_status,git_commit,input_file_sha256,software_versions
regression_a,266001,0,"(266001, 0)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,1,"(266001, 1)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,2,"(266001, 2)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,3,"(266001, 3)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,4,"(266001, 4)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,5,"(266001, 5)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,6,"(266001, 6)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_a,266001,7,"(266001, 7)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_b,266001,0,"(266001, 0)",completed,,duplicate check ONLY -- excluded from pooled summary,3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
regression_b,266001,1,"(266001, 1)",completed,,duplicate check ONLY -- excluded from pooled summary,3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
