dataset,initialization_id,configuration_id,E,L,R,depth,theta_seed,classical_seed,prepared_state_energy,normalized_prepared_state_energy,prepared_state_fidelity,prepared_state_infidelity
original,0,1,0,0,0,1,1277745138,1447794524,1.815080113739849,0.7648179251578687,0.00031179984790459997,0.9996882001520954
original,0,2,1,0,0,1,1277745138,1447794524,0.35306265317227836,0.551511400822507,3.6828939694420516e-05,0.9999631710603056
original,0,3,0,1,0,1,1277745138,1447794524,1.815080113739849,0.7648179251578687,0.00031179984790459997,0.9996882001520954
original,0,4,0,0,1,1,1277745138,1447794524,1.815080113739849,0.7648179251578687,0.00031179984790459997,0.9996882001520954
original,0,5,1,1,0,1,1277745138,1447794524,0.35306265317227836,0.551511400822507,3.6828939694420516e-05,0.9999631710603056
original,0,6,1,0,1,1,1277745138,1447794524,0.35306265317227836,0.551511400822507,3.6828939694420516e-05,0.9999631710603056
original,0,7,0,1,1,1,1277745138,1447794524,1.815080113739849,0.7648179251578687,0.00031179984790459997,0.9996882001520954
original,0,8,1,1,1,1,1277745138,1447794524,0.35306265317227836,0.551511400822507,3.6828939694420516e-05,0.9999631710603056
original,1,1,0,0,0,1,535279412,2095727327,0.7232842462128035,0.605526269574292,0.00020187320422600184,0.999798126795774
original,1,2,1,0,0,1,535279412,2095727327,-0.2710991829510849,0.4604469672728785,0.021054002907148706,0.9789459970928513
original,1,3,0,1,0,1,535279412,2095727327,0.7232842462128035,0.605526269574292,0.00020187320422600184,0.999798126795774
original,1,4,0,0,1,1,535279412,2095727327,0.7232842462128035,0.605526269574292,0.00020187320422600184,0.999798126795774
original,1,5,1,1,0,1,535279412,2095727327,-0.2710991829510849,0.4604469672728785,0.021054002907148706,0.9789459970928513
original,1,6,1,0,1,1,535279412,2095727327,-0.2710991829510849,0.4604469672728785,0.021054002907148706,0.9789459970928513
original,1,7,0,1,1,1,535279412,2095727327,0.7232842462128035,0.605526269574292,0.00020187320422600184,0.999798126795774
original,1,8,1,1,1,1,535279412,2095727327,-0.2710991829510849,0.4604469672728785,0.021054002907148706,0.9789459970928513
original,2,1,0,0,0,1,468318,716500279,1.054488011774755,0.653848485952869,0.0017491006275955532,0.9982508993724044
original,2,2,1,0,0,1,468318,716500279,1.5713886482210637,0.7292636442262149,0.018822644924076017,0.981177355075924
original,2,3,0,1,0,1,468318,716500279,1.054488011774755,0.653848485952869,0.0017491006275955532,0.9982508993724044
original,2,4,0,0,1,1,468318,716500279,1.054488011774755,0.653848485952869,0.0017491006275955532,0.9982508993724044
original,2,5,1,1,0,1,468318,716500279,1.5713886482210637,0.7292636442262149,0.018822644924076017,0.981177355075924
original,2,6,1,0,1,1,468318,716500279,1.5713886482210637,0.7292636442262149,0.018822644924076017,0.981177355075924
original,2,7,0,1,1,1,468318,716500279,1.054488011774755,0.653848485952869,0.0017491006275955532,0.9982508993724044
original,2,8,1,1,1,1,468318,716500279,1.5713886482210637,0.7292636442262149,0.018822644924076017,0.981177355075924
original,3,1,0,0,0,1,1805529545,1664979092,-1.3632226610815115,0.3011075137108045,0.2200671950182141,0.779932804981786
original,3,2,1,0,0,1,1805529545,1664979092,-0.2854226059066731,0.45835719772521816,0.005186803179103828,0.9948131968208962
original,3,3,0,1,0,1,1805529545,1664979092,-1.3632226610815115,0.3011075137108045,0.2200671950182141,0.779932804981786
original,3,4,0,0,1,1,1805529545,1664979092,-1.3632226610815115,0.3011075137108045,0.2200671950182141,0.779932804981786
original,3,5,1,1,0,1,1805529545,1664979092,-0.2854226059066731,0.45835719772521816,0.005186803179103828,0.9948131968208962
original,3,6,1,0,1,1,1805529545,1664979092,-0.2854226059066731,0.45835719772521816,0.005186803179103828,0.9948131968208962
original,3,7,0,1,1,1,1805529545,1664979092,-1.3632226610815115,0.3011075137108045,0.2200671950182141,0.779932804981786
original,3,8,1,1,1,1,1805529545,1664979092,-0.2854226059066731,0.45835719772521816,0.005186803179103828,0.9948131968208962
original,4,1,0,0,0,1,1679590458,392398200,-0.01816417354916905,0.4973498697302197,0.00028235166785219056,0.9997176483321478
original,4,2,1,0,0,1,1679590458,392398200,1.5400891563707166,0.7246970873962651,0.0006501690680056943,0.9993498309319943
original,4,3,0,1,0,1,1679590458,392398200,-0.01816417354916905,0.4973498697302197,0.00028235166785219056,0.9997176483321478
original,4,4,0,0,1,1,1679590458,392398200,-0.01816417354916905,0.4973498697302197,0.00028235166785219056,0.9997176483321478
original,4,5,1,1,0,1,1679590458,392398200,1.5400891563707166,0.7246970873962651,0.0006501690680056943,0.9993498309319943
original,4,6,1,0,1,1,1679590458,392398200,1.5400891563707166,0.7246970873962651,0.0006501690680056943,0.9993498309319943
original,4,7,0,1,1,1,1679590458,392398200,-0.01816417354916905,0.4973498697302197,0.00028235166785219056,0.9997176483321478
original,4,8,1,1,1,1,1679590458,392398200,1.5400891563707166,0.7246970873962651,0.0006501690680056943,0.9993498309319943
