coefficient,estimate,se
Intercept,-0.5432533585925429,0.20480917588403613
E,0.1760734315586559,0.06594937797999942
L,0.4237189487357479,0.06593988758512168
E:L,-0.04454746124920011,0.08385553679396572
R,0.08692305127990736,0.07332303789945321
E:R,-0.02559620139260476,0.09122828824694232
L:R,-0.06702450790915494,0.09211088692836719
E:L:R,0.0033799076852449265,0.11905138117773986
depth_z,0.09116945882743863,0.06054362141027341
log2_budget,0.14199718909524695,0.02922524213494484
E:depth_z,-0.12564666071089534,0.032240581234099654
L:depth_z,-0.14463158934259424,0.04678271514160488
R:depth_z,-0.10022717281577535,0.051343531823399645
L:R:depth_z,0.031633252157056244,0.06543430421469437
Group Var,1.1592748979586823e-10,
param Var,0.2904166635107253,0.08044971842968669
