analysis_mode,configuration_id,E,L,R,depth,budget,initialization_id,parameter_id,_fitted,_resid,_std_resid
finite_shot_end_to_end,3,0,1,0,1,2000,14,theta_ell1_q3,1.5229004703634215,2.326969969028189,5.755725461851812
finite_shot_end_to_end,3,0,1,0,1,2000,43,theta_ell1_q3,1.2087528645358667,2.2756916692682907,5.6288893533085735
finite_shot_end_to_end,7,0,1,1,1,2000,13,theta_ell1_q3,1.440138945568017,2.27264988144067,5.621365536550294
finite_shot_end_to_end,5,1,1,0,4,2000,30,theta_ell4_q1,1.3016342501562967,2.2297418373166256,5.515233130300906
finite_shot_end_to_end,3,0,1,0,3,2000,24,theta_ell3_q3,1.2891169146744308,2.212571796145054,5.4727632899215175
finite_shot_end_to_end,7,0,1,1,1,2000,14,theta_ell1_q3,1.5294124031383736,2.156089694197392,5.333055654392884
finite_shot_end_to_end,1,0,0,0,1,2000,37,theta_ell1_q1,1.2710860563059898,2.1341134124493744,5.278697649735556
finite_shot_end_to_end,5,1,1,0,1,2000,44,theta_ell1_q0,1.6016441508540495,2.1216118879973944,5.247775315731274
finite_shot_end_to_end,4,0,0,1,2,2000,49,theta_ell2_q0,1.454393981761707,2.110499776493691,5.2202896739017355
finite_shot_end_to_end,7,0,1,1,1,500,14,theta_ell1_q3,1.2325273129205243,2.0973042461862224,5.187650726779847
finite_shot_end_to_end,7,0,1,1,2,2000,39,theta_ell1_q1,1.1109827323103556,2.084535115060638,5.156066471665483
finite_shot_end_to_end,4,0,0,1,2,1000,24,theta_ell2_q1,0.7233189661583139,2.0707288582416457,5.121916901639391
finite_shot_end_to_end,7,0,1,1,1,2000,43,theta_ell1_q3,1.2152647973108188,2.065999257125161,5.1102183039209494
finite_shot_end_to_end,5,1,1,0,6,2000,2,theta_ell6_q1,0.9678698658822196,2.0440240548052966,5.055862969213037
finite_shot_end_to_end,1,0,0,0,2,2000,24,theta_ell2_q1,0.8713116870924532,2.03856542087978,5.042361119730577
finite_shot_end_to_end,1,0,0,0,1,1000,37,theta_ell1_q1,1.1226435111970654,2.033974584928676,5.031005755576054
finite_shot_end_to_end,4,0,0,1,1,2000,37,theta_ell1_q1,1.2728969885786656,2.029167780349547,5.019116196245903
finite_shot_end_to_end,3,0,1,0,1,2000,13,theta_ell1_q3,1.4336270127930648,2.0154088039221554,4.985083573562238
finite_shot_end_to_end,1,0,0,0,1,2000,18,theta_ell1_q1,1.9275885849589869,1.9982776627624952,4.9427099517812865
finite_shot_end_to_end,7,0,1,1,3,2000,24,theta_ell3_q3,1.2810740657544595,1.9886335184745199,4.9188553049337145
