coefficient,estimate,se
Intercept,-0.9341959852544719,0.016483011893212884
E,0.06376347987657169,0.006256552972030365
L,0.26605168237111754,0.006460125382173264
E:L,0.023170290090897456,0.008458057514635638
R,0.02289613262478249,0.006525042131463623
E:R,0.006883881471655474,0.008516148751338987
L:R,0.002258661420003844,0.00913118039337023
E:L:R,0.00018827330100825443,0.011961984185221725
depth_z,-0.21846456227879057,0.007249273737226002
log2_budget,0.16925129484716872,0.0013377044911633816
E:depth_z,0.005481831308019441,0.003117948239751494
L:depth_z,-0.08148781476517276,0.004404695398415532
R:depth_z,0.015120735754083441,0.004441652795272288
L:R:depth_z,0.010436689344902841,0.006230970132055806
Group Var,0.00882804036126047,0.0035516167251086316
param Var,0.5261864499109153,0.01428675556713741
