coefficient,estimate,se
Intercept,-0.7672794397982488,0.016845714644993934
E,0.09385718059185348,0.005756001411552468
L,0.19266566139497895,0.006451323531703069
E:L,0.054468321639370404,0.006997087214592687
R,-0.003555943885504861,0.006461589487405173
E:R,-0.0021278402039938316,0.007003766672684396
L:R,-0.012273794040083975,0.009116062817786123
E:L:R,-0.025321135740713634,0.00988875193179263
depth_z,-0.1337780003551807,0.007294303347644532
log2_budget,0.1328878646232506,0.001105755447760852
E:depth_z,-0.042118821112960045,0.0033655238165946713
L:depth_z,-0.07096309516118733,0.004761981810099615
R:depth_z,7.115797431456197e-05,0.004767419584720768
L:R:depth_z,-0.005159504067205813,0.006730636324425122
Group Var,0.039693218334490375,
param Var,0.43149058875792107,0.013165018423580855
