E,depth,entropy_mean,entropy_sem_within_R,purity_mean,purity_sem_within_R
0,1,0.8139454004718933,0.02500500583489254,0.6437681018293684,0.01231024434074292
0,2,0.8122038363968308,0.029630250632122157,0.6437683767894843,0.013970207064405299
0,3,0.7655565874262258,0.02482010151391611,0.6688983207679939,0.012409146716065814
0,4,0.8188092226663966,0.0232799156826764,0.6397972436369823,0.011522342227418516
0,6,0.7787458091031341,0.025883661770598785,0.6654472417467621,0.012904810420404486
1,1,0.34508302603800767,0.033848592197836744,0.8681261531646104,0.014914795735431943
1,2,0.41892460507720936,0.03718603543865806,0.8327713635970738,0.01650885531950923
1,3,0.34192481995527296,0.032157087883696436,0.8689593343516174,0.014071067282400738
1,4,0.36523280971346606,0.03668740153252935,0.8554014556725893,0.016386583893144752
1,6,0.3388745866453151,0.035187611009637354,0.865930084638295,0.01561289023241505
