E,R,depth,entropy_mean,entropy_sem,purity_mean,purity_sem,n
0,0,1,0.8139454004718933,0.02500500583489254,0.6437681018293684,0.01231024434074292,50
0,0,2,0.8122038363968308,0.029630250632122157,0.6437683767894843,0.013970207064405299,50
0,0,3,0.7534295393504848,0.025203468678142077,0.6748876886766463,0.012760096036693971,50
0,0,4,0.8229960717511868,0.025635166378185,0.6376693824614414,0.012576924336680664,50
0,0,6,0.7746408937371014,0.026214774358050145,0.666504596650883,0.013022756947081793,50
0,1,1,0.8139454004718933,0.02500500583489254,0.6437681018293684,0.01231024434074292,50
0,1,2,0.8122038363968308,0.029630250632122157,0.6437683767894843,0.013970207064405299,50
0,1,3,0.7776836355019667,0.024436734349690147,0.6629089528593417,0.012058197395437658,50
0,1,4,0.8146223735816064,0.0209246649871678,0.6419251048125233,0.01046776011815637,50
0,1,6,0.7828507244691667,0.025552549183147425,0.664389886842641,0.01278686389372718,50
1,0,1,0.34508302603800767,0.033848592197836744,0.8681261531646104,0.014914795735431943,50
1,0,2,0.41892460507720936,0.03718603543865806,0.8327713635970738,0.01650885531950923,50
1,0,3,0.33775412180472614,0.0323816416373331,0.8724146855386437,0.013955831616923188,50
1,0,4,0.38294366687776477,0.03794043246640377,0.8499747692758034,0.016936517910005475,50
1,0,6,0.3221278526803904,0.03371854683100456,0.8718594473126129,0.015175204599120922,50
1,1,1,0.34508302603800767,0.033848592197836744,0.8681261531646104,0.014914795735431943,50
1,1,2,0.41892460507720936,0.03718603543865806,0.8327713635970738,0.01650885531950923,50
1,1,3,0.3460955181058198,0.03193253413005977,0.8655039831645912,0.014186302947878286,50
1,1,4,0.34752195254916735,0.035434370598654924,0.8608281420693751,0.01583664987628403,50
1,1,6,0.3556213206102399,0.03665667518827015,0.8600007219639771,0.01605057586570918,50
